,complaint_id,date_received,product,issue,company,state,submitted_via,company_response_to_consumer,timely_response,consumer_disputed?,consumer_complaint_narrative,month
206311,1306862,2015-03-30,Credit reporting,Credit reporting company's investigation,Equifax,FL,Web,Closed with explanation,Yes,No,xxxxxxxx2015 online dispute initiated equifax concerning collection reporting amount 670000 investigation completed equifax xxxxxxxx2015 2 day led believe proper investigation fact done human result item remaining report computer generate filed dispute via telephone xxxxxxxx2015 asked agent document sent counter argument documentation dispute response agent also assured collection agency definitely required send documentation next time investigation completed xxxxxxxx15 1 day claimed debt verified remained credit file called equifax requested document sent credit collection agency improve information agent would give last name location office working informed allowed know collector sent improve information requested speak supervisor connected equifax office told allowed know information sent resident supposedly countered argument incorrect reporting also said agent trained supply consumer last name office location found highly disturbing due fact employee access personal information right fingertip also informed documentation sent collection agency refute claim investigation therefore negative information removed continuously insisted debt verified reporting correctly,3
206312,1297860,2015-03-24,Consumer Loan,Problems when you are unable to pay,BB&T Financial,WI,Web,Closed with explanation,Yes,Yes,auto loan company regional acceptance corporation call u time per day also call work e told set payment arrangement continue call also told work shift sleep day usually start calling around attach letter wrote morning specified detail,3
206329,1307394,2015-03-30,Mortgage,"Loan modification,collection,foreclosure",Citibank,WA,Web,Closed with explanation,Yes,No,lost job reached citimortgage loan modification started process fulfilling requirement modification completed however modification extend term 10 year raise interest rate 4375 add deferred 1600000 thereby lowering meeting 29000000 house appraised 29000000 saving mere 19000 month gambler dream expressed concern citimortgage putting skin game told offer process electronic system would issue duplicate modification requiring signature receipt meant several trip post office addition new note etc name incorrect result error previous harp loan,3
206331,1307396,2015-03-30,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,VA,Web,Closed with explanation,Yes,No,order afford buying home 10 year ago take mortgage time qualified arm year payment jumped struggling pay bill want continue climbing talked bank well cargo financing loan fixed rate arm 7 able get fixed rate 839 well cargo held time positive thing fear able pay since fixed 2008 market retro area collapsed home value fell paid time mortgage rate dropped wage stagnant cost living increased since home value resounded still ask paid struggling pay bill negative equity home denied every turn tried harp program federal government qualify talked rep had ha well cargo numerous financial institution unable obtain finance recently reached congressman senator helping work well cargo obtain finance rate reduction recently well cargo denied inquiry apply finance denied due negative equity home car accident replacing nonfunctioning mac system broken raging appliance away able pay well cargo owe monthly current payment good credit want pay obligation life happens way fall behind able pay run option need rate reduced finance risk default loan foreclosure even foreclosure would risk lawsuit well cargo would likely get anything due negative equity,3
206333,1307397,2015-03-30,Debt collection,Communication tactics,"Portfolio Recovery Associates, Inc.",FL,Web,Closed with non-monetary relief,Yes,No,hospital bill 2000000 hospital contract insurance company pay contract rate per contract hospital trying collect contract hospital sent collection agency harassing pay additional amount money insurance paid,3
206339,1307399,2015-03-30,Student loan,Dealing with my lender or servicer,Iowa Student Loan,IA,Web,Closed with explanation,Yes,No,iowa student loan spire consistently called u daughter regarding outstanding loan college necessary obtained several loan period four year parent consigned loan college made repeated attempt consolidate loan response possible result loan due different time month according interest attempted set regular schedule new workforce best meet loan payment helped could offset payment since 2004 consistently received letter harsh demanding phonecalls sometimes threatening even though know amount regularly late paid accordance pay check known student loan iowa student loan spire would physiological demanding would never used even credit card company willing work u consolidating paying card attempted numerous time talk iowa student loan spire consolidate make easier daughter u repay loan unrelenting offering option constantly sending letter telephone call know loan paid however day even due holiday phone call cautionary letter arrive come simply tossing letter hanging call seems solution outside obtaining high interest private loan get back fair intent education something must done,3
206351,1307405,2015-03-30,Mortgage,"Loan modification,collection,foreclosure","Bayview Loan Servicing, LLC",CA,Web,Closed with explanation,Yes,Yes,xxxxawhile ago came temporary financial hardship time life due divorce increased monthly mortgage payment rest living expense result temporarily unable pay property tax part mortgage company bayview paid expense appreciated prior monthly mortgage amount 20000 inception loan including house insurance property tax paid without missed payment bayview increased monthly mortgage 20000 69000 increase 337 presumably property tax already paid amount placed escort account trying come amount due 560000 per statement sent bayview sadly occur ma loan applied time running foreclosure proceeding due initiated bayview sent another letter stating total amount due 750000 difference 190000 seven day working diligently bayview resolving situation requested total amount due upon purification added monthly principal would expedient method party resolution quite able make original monthly mortgage payment 20000 continues made monthly addition homeowner insurance how due current close friend 35 year temporarily forwarding 200000month order meet unfordable financial obligation secure bank loan monthly income received additional stated bayview home california going market condition improved greatly california real estate market upon sale home stated bayview verified amount due order bring account current would paid full bayview add amount due mortgage principal amount due would still paid full contingent california home selling however would set amount frozen specific date email bayview dated state additional documentation sent reviewed underwriting department underwriter conditional file requesting borrowed provide income personal loan friend reflecting ma day responded could advise type acceptable document verified income looking would begin amass information advisement bayview request bayview asks person living response day answer today bayview state use income stated loan friend validverifiable income purpose loan modification answer bayview regarding request advise documentation would needed satisfy request strongly appears communication underwriting problem source income requesting purification documentation mention ever made today income nonusable understandable begin question going given fact request type documentation needed income show willing work bayview reasonable unfordable solution situation,3
206358,1317201,2015-04-06,Debt collection,Disclosure verification of debt,"Dynamic Recovery Solutions, LLC",GA,Web,Closed with non-monetary relief,Yes,No,found king credit report company never received bill communication debt collector,4
206362,1306491,2015-03-30,Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,CA,Web,Closed with explanation,Yes,No,signed home unfordable modification agreement agreement included 13000000 deferred principal forgiven installment specifically anniversary date installment total received corresponding amount loan subsequently transferred nationstar mortgage nationstar failed provide amount deferred principal provided tax year constitutes breach agreement page contracted nationstar multiple time answer reflect deferred principal balance whilst figure total forgiven portion year subject tax principal reduction state california whereas subject tax amount providing actual amount principal reduction required pay tax agreed upon amount camp document jumping together 2 year forgiveness violation agreement nationstar exposed additional tax liability state california need either corrected reflect forgiveness portion agreed documentation compensation additional california state tax subjected breach camp agreement nationstar,3
206363,1297869,2015-03-24,Debt collection,Cont'd attempts collect debt not owed,"Receivable Recovery Services, LLC",LA,Web,Closed with explanation,No,No,company continues report credit report sent letter telling account mine idea belongs asked proof signed contract asked license collect state asked copy information reference debt still date received anything harassment company debt want account removed credit report company stop contracting immediately,3
206368,1307409,2015-03-30,Mortgage,"Loan modification,collection,foreclosure",Ditech Financial LLC,NC,Web,Closed with explanation,Yes,No,wife came hard financial time right start 2010 got work home able keep mortgage payment collecting unemployment unemployment ran started serious trouble making mortgage payment fell behind turned north carolina foreclosure prevention fund approved program ncfpf made good back payment mortgage continued make payment little year maximum reached time ncfpf ran wife got true blessing help improve continuing financial issue got behind mortgage time wife found gainful employment full time 30 hour week local bookkeeper however took income keep light heat grocery car insurance necessity daily life left little extra money mortgage turned local had approved agency assistance camp modification had agency also sought assistance another legal agency provides u free attorney attorney proved helpful since mortgage company trying foreclose home almost year court time time resulting postponement working camp process successfully completed camp process mortgage company payment modification start issue told throughout entire process mortgage company had rep approved camp mortgage company would automatically approved imp mortgage company loss litigation rep mortgage company called late last week informed u house review mortgage modification qualify needle say perplexed house review camp law really good answer eligible camp qualify camp even though along led believe automatic mortgage company approved u camp calling had rep able find camp mode ha camp qualify automatic approval something had rep also aware entire process filing complaint advice had rep hoping get kind positive resolution mortgage modification issue matter complicated due fact another court date schedule court sale date property already book,3
206373,1297872,2015-03-24,Debt collection,Communication tactics,Hillcrest Davidson & Assoc,TX,Web,Closed with explanation,No,No,called agency get better understanding debt instead someone helping transferred several time spoke different people seemed though next trying help needed transfer supervisor named tried receive information regarding debt rude hard talk hung face issue resolved attempted call back advised representative supervisor hung face rep stated care rude also ended phone call also wanted advise receive phone call collection agency per day leave voicemail time day,3
206374,1297874,2015-03-24,Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,MT,Web,Closed with non-monetary relief,Yes,No,remained online account suspended stated account password entered time well tried get account week tried call well cargo kept transferring repeatedly asked information would transfer fraud department veteran would help want access equity home open new debt want know happened going obviously going anything wish buy mortgage certainly would never business well cargo future,3
206382,1297877,2015-03-24,Mortgage,"Loan servicing, payments, escrow account","PennyMac Loan Services, LLC",NJ,Web,Closed with explanation,Yes,Yes,mortgage lender pennymac loan service ll taken following step ensure file foreclosure me paid past due tax property open escort account increase mortgage unnecessary home tax line danger tax line city ny making payment quarterly city city aware behind tax required pay certain amount end year stay danger tax line ready pay requested tax amount city mortgage company intervened requesting past due tax full payment 2 paying tax bill need pay lender opened escort account cover tax lender subsequently increased mortgage payment 160000 320000 per month 3 lender made payment tax retroactively increased past due mortgage payment month 160000 320000 retroactively increased past due mortgage payment month 160000 320000 mortgage owed month increase escort account opened date prevent lender retroactively increasing mortgage payment month entire year previous year 4 payment sent cover applied mortgage lender increased past due amount 160000 320000 sent payment sent enough cover new past due amount instead applying partial payment mortgage lender applied money left payment escort account without knowledge lender put day delinquent loan 5 received statement month lender send mortgage statement timely manner fear make payment incorrect amount applied escort account instead mortgage place behind mortgage payment 6 female senior citizen believe mortgage lender marketing vulnerable position afford defend predator method,3
206390,1307413,2015-03-30,Mortgage,"Loan modification,collection,foreclosure",BB&T Financial,NC,Web,Closed with explanation,Yes,No,communication problem mortgage hoping could intervene get help u get mortgage back track tried work representative obtain modification loan responded petition set u forbearance plan complied last payment agreement intent set u loan modification plan either purposely trying take home away dysfunctional process either way would like look get loan payment back track keep home financial challenge due unemployment delicate surgery caused u fall behind loss income recovery time surgery good news back foot financial problem due inconsistent income unfortunate event described forced temporary discontinue making mortgage payment without income fell financial chasm tried keep mortgage payment long could ultimately fell behind payment want resume making mortgage payment every creditor contracted understanding worked temporary financial health crisis mortgage refusing come table tangible solution assistance tried complied mortgage get help mortgage buy agreeing forbearance plan wo listen denied access government homeowner assistance program matter many time contracted futile effort single point contact offered sort assistance repayment plan get payment track insist pay entire past due amount impossible left option work given runaround feel acting judge jury executioner regarding option without fairly reviewing financial circumstance truly afford home move believe loan fit squarely within government guideline hoping could reach behalf save home impending foreclosure sale want simply want review mortgage available retention option keep home need handful given something deserve want opportunity treated fairly financial future look bright financial issue moving forward get resolved reasonably thank advance help could provide sincerelyxxxx,3
206392,1306629,2015-03-30,Debt collection,Cont'd attempts collect debt not owed,"URS Holding, LLC",NY,Web,Closed with explanation,Yes,No,united recovery system u keep calling client debt either owe fully paid settlement attached u contracting represented party misrepresenting debt due harassing consumer without defense,3
206393,1307415,2015-03-30,Money transfers,Other service issues,"PayPal Holdings, Inc.",VA,Web,Closed with explanation,Yes,No,cap pal thank deciding read message help regard indefinite suspension issued serving account pal pal decided mentally overview account believed best finalize partnership due possible violation may happened account permanent restriction placed account causing 100000 held expense concern believed infringe right copyright holder processing sale pal contracting agent overlook decision phone email request denied reason item sell face legally obtained liquidation selling 5 year never problem brand owner regarding copyright infringement started drop shipping exported almost two year pal coming around satisfied bay customer due export expertise shipping within handling time providing item known authenticity last reminder please note never case opened counterfeit category pal assures business never related counterfeit problem pal indefinite restriction came place thank xxxi,3
206397,1307416,2015-03-30,Payday loan,Charged fees or interest I didn't expect,Red Rock Tribal Lending,TX,Web,Closed with explanation,Yes,No,niece took loan castle payday loan michigan name loan 80000 28000 interest tell payment due put money checking account pay got email bank saying castle payday tried take money tried talk castle payday make payment would tell anything know email address niece used could remember used provided name social security number do address still would talk made sure money account time payment due payment 28000 made castle payday total 110000 total 100000 supposed niece finally remembered email address used finally able talk told payment made interest still owed 130000 make total 250000 80000 loan find totally ridiculous talked initially gave name social do address company need action taken,3
206411,1306863,2015-03-30,Credit reporting,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",FL,Web,Closed with explanation,Yes,Yes,filed online dispute transition concerning debt placed onto credit file able unload document prove case incredible amount character restriction allowed document company arcade computer program dispute came back debt verified failed document transition prove case result favor tried call speak live representative directed file complaint online strong belief proper investigation conducted behalf documentation provided transition strong evidence wrong filing,3
206412,1307593,2015-03-30,Consumer Loan,Taking out the loan or lease,First Citizens,GA,Web,Closed with non-monetary relief,Yes,No,applied vehicle loan bank loan approved collateral vehicle however loan officer told bank wanted certificate deposit amount 550000 held 12 month within 12 month payment history paid time bank would release 550000 certificate deposit ad 12 month period matured however went bank today retrieve money bank official stated ad 550000 held entire loan period 48 month paid loan ad 550000 collateralize loan executed note disclosure security agreement show vehicle securecollateralize loan,3
206413,1297886,2015-03-24,Credit reporting,Incorrect information on credit report,Equifax,CO,Web,Closed with explanation,Yes,No,reporting account included b collection charge stated account opened 2011 closed following month show balance 77000 1200 month payment contracted answer disputed reporting agency remove,3
206419,1307424,2015-03-30,Mortgage,"Loan servicing, payments, escrow account",Freedom Mortgage,IL,Web,Closed with explanation,Yes,No,wrote countless email talked customer service getting escort check 2014 never sent town still never received freedom mortgage still sent check called back never deal anything like life please help,3
206435,1317229,2015-04-06,Mortgage,Settlement process and costs,Ocwen,FL,Web,Closed with explanation,Yes,No,original bank sold mortgage owen back 2013 trying get modification ever since time made payment three month three month denied next try short sale almost year back forth finally tried modification got payment later ask 65000 explanation want lose house almost impossible milk time total amount grade right,4
206451,1297555,2015-03-24,Mortgage,"Loan servicing, payments, escrow account","Select Portfolio Servicing, Inc",CA,Web,Closed with explanation,Yes,No,company select portfolio serving spy mortgage loan service company call phone number cell phone early morning repeatedly asked stop time patiently clear calling early claim since phone reply calling area code timezone difference stop even though account information including mortgage property address california always occasion apologize say resolve issue nothave resolved occasionally spy combative claim responsibility solve problem need communicate phone xxxi,3
206454,1307444,2015-03-30,Bank account or service,"Account opening, closing, or management","Citizens Financial Group, Inc.",MA,Web,Closed with monetary relief,Yes,No,opened account citizen bank account opened account discussed bank representative opening business account would transaction account immediately due family focus directed business interact account past month see bank begun charging dormant fee continued charge past month nearly year half never sent letter mail notify issue system flag inactivity imposes charge send letter would respectable customer service averting potential issue,3
206462,1299120,2015-03-24,Payday loan,Received a loan I didn't apply for,Integrated Recovery Services,CA,Web,Closed with explanation,No,Yes,received call woman stating pending claim checking account sort bad checking name lender anything given state charge pending give people called dad well sister business name integrated service looked number another web source consumer issue people grass rude multiple number used believe attempting fraudulent collect pony ardor bank old payday loan information obtained,3
206466,1306452,2015-03-30,Mortgage,Settlement process and costs,Ocwen,IL,Web,Closed with explanation,Yes,No,xxxx2013 went bank finance home time home loan time water level still making payment time credit score secured left hell broke loose tried everything book railroad filed complaint attorney general office senator office avail strong closing process contact so 7 month run runaround email say set closing l called banker ask aware closing said heard next thing know claim sold loan owen serving called land trust talked attorney staff since home trust son name inquired held collateral believe called attorney told contracted so inquire happened left spoke said sold loan owen still held vein trust collateral contracted owen told take 20 day get system 20 day later contactact say dollar check left say done loan service point hospitalized enough stopped paying mortgage 2 year hired attorney handle killing end story dollar reason refused beautiful home 10 yes stolen offshore company owen please tell recourse phone name email,3
206483,1307437,2015-03-30,Credit reporting,Incorrect information on credit report,Experian,FL,Web,Closed with explanation,Yes,No,bankruptcy dismissed 2010 would like removed credit report trying rebuild credit last 5 year impaction credit score,3
206485,1308020,2015-03-30,Mortgage,"Loan servicing, payments, escrow account",Bank of America,TX,Web,Closed with explanation,Yes,No,bought new house area family excited first home looking around good lender great rate bank america come plan mentioning eligible physician loan 375 april need set escort account asked agentmultiple time sure set escort account answered 1000 percentage sure set escort account 10 percentage lender providing similar rate loan set escort account aggressive give best service everytime question similar sure set escort saying sure decided go bank america looking confidence promise sent closing cost work sheetgood faith estimate without escort account well show prove promise meanwhile provided lot document loan timely manner whatever processor underwriter requesting 4 working business day remain closing came xxxxxxxx2015 late afternoon mentioning set escort account made mistake please forgive really upset setting escort account reason go bank america lender providing rate loan escort really anxious 1 ok remained closing felt created customer end day understand loan went different stage final approval nobody noticed informed escort thing last moment 4 day remained go would never go bank america aware set escort different option setting escort home loan ended paying additional escort account monthly payment ready would totally consider fraud cheating customer believe customer right get correct information product whenever buying something inform customer surprise anything motto bank america please help matter one else get fooledcheated,3
206496,1297905,2015-03-24,Bank account or service,"Making/receiving payments, sending money","PayPal Holdings, Inc.",MD,Web,Closed with explanation,Yes,No,purchased online using pal account offering month payment interest option pal telling payment due within 30 day even though paid promotion offer,3
206500,1297789,2015-03-24,Debt collection,Cont'd attempts collect debt not owed,Credit One LLC,LA,Web,Closed with explanation,Yes,No,company continues report credit report sent letter telling account mine idea belongs asked proof signed contract asked license collect state asked copy information reference debt still date received anything harassment company debt want account removed credit report company stop contracting immediately,3
206505,1317236,2015-04-06,Debt collection,Cont'd attempts collect debt not owed,"The CBE Group, Inc.",VA,Web,Closed with explanation,Yes,No,told company be group multiple time wrong number stop calling,4
206508,1307466,2015-03-30,Debt collection,Cont'd attempts collect debt not owed,ERC,IL,Web,Closed with explanation,Yes,Yes,son lived different address 2014 similar name looking money tuned debt collector last 9 month call day done say anything sent letter u 3 week ago called explained debt mine current autopay assured would take care promptly dined credit launched investigation credit agency filed complaint etc nl phone florida fatty general fraudulent reporting credit agency,3
206510,1307469,2015-03-30,Debt collection,Cont'd attempts collect debt not owed,"NRA Group, LLC",NY,Web,Closed with explanation,No,No,telephone number called cell phone time answer answer asked address said owe 23000 asked credit card number mention said debt mumbled word could hear asked time refused tell changed subject could tell immediately hung phone,3
206513,1307470,2015-03-30,Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",GA,Web,Closed with explanation,Yes,No,contracted patient 2015 approximately spoke lady never gave name advised status account advised 2 month behind beginning told could pay xxxxxxxx2015 advised needed pay today month told could said account would escapade would start calling consigned feel threatened patient sure would tell consigned would contracted already called time day change asked supervisor time never transferred call said needed know wanted super advised complain still continued speak make feel threatened upset currently suffering allowed fell behind payment made feel like something wrong worse already fill call back request another rep speak super transferred immediately speaking super advised could set arrangement previously requested addition advised correct card file rude rep spoke first claim file summary feel patient mislead harassed threatened situation please help,3
206516,1317262,2015-04-06,Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,KY,Web,Closed with explanation,Yes,Yes,paid xxxxyr mortgage xxxxxxxx2015 nationstar charged interest end per federal register volume 79 165 page 50835 24 cf part 20 in interest allowed charged date mortgage paid made multiple phone call without progress overpayment natoinstar customer service accountability grossly negligent never business mortgage provider,4
206518,1307475,2015-03-30,Payday loan,Received a loan I didn't apply for,Worth Finance Corporation,TX,Web,Closed with explanation,Yes,Yes,received letter worth finance corporation included check 80000 reality offer 80000 loan april 9102 37000 finance charge legal cap shutting predator lending nature,3
206519,1307476,2015-03-30,Mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,CA,Web,Closed with explanation,Yes,No,house current payment another person bankruptcy took house held 30 month gave back time make payment collected rent attempted finance existing lender would cooperate escort new loan fell apart asked loan modification chase refuse cooperate returned call etc chase filed notice foreclosure sale post house mail anything catch back payment started bankruptcy want keep house working kind loan modification chase feel action chase may due name woman owning house alone urgent foreclosure sale schedule 2015,3
206523,1317159,2015-04-06,Consumer Loan,Taking out the loan or lease,Citibank,NJ,Web,Closed with explanation,Yes,No,searching loan online received email claiming city bank financial represent said loan approved credit score low pay first installment purchased green dot repaid card paid fee soon receive loan said for holding owe tax loan originally contracted did for,4
206526,1308024,2015-03-30,Mortgage,"Loan servicing, payments, escrow account",Bank of America,AZ,Web,Closed with explanation,Yes,No,equity loan boa last 15 year amount tendon 2015 never late payment notice boa repayment time previous amount amount fair year old father street happensplease advised,3
206534,1306548,2015-03-30,Debt collection,Disclosure verification of debt,Critical Resolution Mediation LLC,IL,Web,Closed,Yes,No,contracted multiple party collection agency stating outstanding bought companythey refuse give information validtation debate collector stated sent letter variation demanded pay momentthe original creditor xxxxxxxx12 collection agency xxxxcritical resolution mediation stated would check mankind get back hither company called 3 later wasgiving night going call bank drain checking saving kept reminding mere recorded line advised move ahead collector preceded tell taking loan going pay back,3
206550,1307481,2015-03-30,Credit card,Late fee,Bank of America,PA,Web,Closed with monetary relief,Yes,No,issue bank america process resolved however practice described must investigated action taken boa discontinue practice described situation individual charged fee like situation refused boa penalized action ak credit card issued boa card reward program earned point may redeemed travel merchandise cash statement credit complaint related instance statement credit point earned requested approved 2015 statement amount 49000 due date xxxxxxxx15 point value available redemption 48000 thus balance 300 due point conversion requested made via telephone call xxxxxxxx15 boa agent verified remaining amount 300 due electronic payment made xxxxxxxx15 amount 500 thus overlying amount due 100 statement following month indicates payment credit 49000 however late payment fee 2000 possessed xxxxxxxx15 closing date statement interest charged telephone call boa agent stated fee possessed minimum payment made without hesitation stated defined disclosure statement minimum payment required speaking supervisor also stated several time requirement make minimum payment defined disclosure statement said agent making transaction would read disclosure time agent may read time clear minimum payment 2500 would also required supervisor offered remove 2000 fee said could made immediate 2000 payment account ear locked made payment often time said placed note account payment received account created 2000 xxxxxxxx15 electronic payment payable xxxxxxxx15 made full amount statement included 2000 fee statement due date xxxxxxxx15 assume 2000 credit made within day receipt boa 2000 created stand 2000 credit statement effect forced interest free loan boa period disclosure believe boa personnel referred entitled ak member reward program rule heading cash reward redemption statement credit statement read point redeemed statement credit post account within 3 day date redemption statement credit generally applied existing balance highest price annual percentage rate april receipt statement credit affect responsibility pay total minimum payment shown statement receive u statement state fund must tendered amount excess amount owed practice pay statement balance full month boa requirement pay amount excess amount due totally illogical ethical illegal present fact agent supervisor quick retort disclosure statement lead believe isolated occurrence,3
206556,1316399,2015-04-06,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,CA,Web,Closed with explanation,Yes,No,service well cargo complying cap guideline provide decision short sale application within 30 day submitted late 2015,4
206557,1316486,2015-04-06,Mortgage,"Application, originator, mortgage broker",Bank of America,OH,Web,Closed with explanation,Yes,No,bank america investor mortgage service one seems able tell qualify national mortgage settlement lower principal get financed lower interest mortgage owned bank america would like able finance today low rate per settlement agreement keep getting run around actually told bank america employee bank america loan must mistaken,4
206560,1307489,2015-03-30,Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,NC,Web,Closed with explanation,Yes,No,husband got behind mortgage husband green tree sent u ratification going foreclose home finally got money catch payment paid thinking good received letter mail stating taking necessary step required law gain possession creditor collateral also state e sent u notice default right cure default notice notice still effect proceed outlined notice unless receive 40000 late fee husband went person pay missed payment told current one said anything late fee could still foreclose home late fee also charge every time make payment draw money bank account even e authorized causing of charge bank company need closed,3
206565,1297931,2015-03-24,Mortgage,"Loan servicing, payments, escrow account",Lender Live,NV,Web,Closed with non-monetary relief,Yes,Yes,contracted week 2015 asked procedure getting mi removed loan exactly told 2 month numerous phone call ever contracted want appraise property meanwhile taken mi payment,3
206567,1307643,2015-03-30,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,CA,Web,Closed with explanation,Yes,Yes,following reason modification reconsidered well cargo determined camp guideline owe 72000000 guideline 72000000 owe 4700000 borrowed money law pay current line property late fee waived per well cargo modified attached current coupon value determined way value home least 11 million 12 million remember husband see attached sale even considered horse keeping pool sea waterfall it access complete removed inside see attached come also used come unable lot slope completely flat income determined way underwriter considered income based upon guaranteed salary coborrower also determined income based upon personal expense husband patrol deposit put borrower account prove well thing provided proof changed gave u mode see attached received mode rental property please also informed husband pay increase started 2014 received check mid higher amount prior income much lower attached bank statement support claim show recently approve mode rental thing provided proof personal business deposit expense mode approved problem ti attached email well cargo advised make payment assured loan would modified would try take home told occasion could advise whether make payment would best wait outcome mode home preservation know right away whether meet guideline also know previous mode wait long find could modify working capacity know string u along,3
206577,1307496,2015-03-30,Student loan,Dealing with my lender or servicer,Genesis Lending,NC,Web,Closed with explanation,No,No,2015 set month forbearance genesis lending would deduce 4000 every month month received letter stating set phone another statement stating going deduce particular date set payment deduced accordingly father consigned loan received letter dated 2015 stating account past due payment owed immediately called genesis lending told forbearance process incorrectly last associate spoke wrong term repayment offered mistake offered fix put new plan forbearance processing would 4000 6 month 8000 next 6 month 16000 following 6 month asked advised processing issue stated representative called 2015 unable leave voice mail never received call genesis lending asked notified writing responded know got answer offer change forbearance plan something originally agree company learned lesson bad business attended xxxi,3
206578,1306550,2015-03-30,Credit reporting,Credit reporting company's investigation,Experian,TX,Web,Closed with explanation,Yes,No,dear sirmadam disputed item illegally reported credit file persian 30 day since received dispute letter heard result investigation,3
206589,1316543,2015-04-06,Debt collection,Disclosure verification of debt,"Ability Recovery Services, LLC",VA,Web,Closed with explanation,Yes,Yes,credit report show collection account something called sent attached letter requesting proof form signed document stating responsible account date one responded request believe violation fair credit credit reporting act identity stolen finding went apply credit card demanding strict proof debt want see signed loancredit card whatever original debt since since made request hindering approval apartment,4
206591,1297939,2015-03-24,Credit card,Other,Capital One,OH,Web,Closed with explanation,Yes,No,received capital one charge card offer applied accepted 50000 limit activate card used present charge card right captivating card capital one sent another card 50000 limit never activate never used card first bill card came due minimum payment due 1500 sent 2000 via uspmo sent due date nonactivated used credit card also sent bill yearly fee never even activate card called told want card sent back well get next bill card credit 2000 payment charged outrageous limit fee late fee etc 7000 payment due called rep stated accidentally applied 2000 payment wrong account number would corrected sent 7000 payment via uspmo along note make sure account corrected payment applied correct account number minimum due wanted keep card also repair credit bankruptcy bill came mail apply payment 7000 previous payment 2000 stated would correct charged outrageous limit fee late fee etc along stupid note spreading thin thought now total called numerous time wrote numerous time success correcting account acknowledged mistake wanted 12000 minimum payment thought totally illegal sent payment time sent minimum even begin kept calling writing resolution like stated totally quit paying point know else time sometime around end started getting threatening phone call collection agency mean really threatening like every day well ended extremely i'll hospital around time doctor hospital etc ended entire summer due time record anyway come put freeze bank account currently never knew took court illegal judgement called capital one new nothing called encased purification etc account payment court order etc receive back into account clearly show put minimum payment onto totally different account proof illegal practice regarding capital one also tub payment sent via uspmo proof recently call home unknown number stating call stating something effect name property home address sent clerk office mother owner home also getting call day row regarding property home address clerk court owner home rent property nothing capital one account totally illegally screwed along illegal collection practice look webster attorney judgement renewal previous u getting harassing threatening illegal call need help,3
206600,1317304,2015-04-06,Bank account or service,Deposits and withdrawals,Bank of America,CT,Web,Closed with monetary relief,Yes,No,deposited cashier check 290000 bank america boa machine next day clearing withdrew cash used money instructed advertisingwrap agency send money actual wrap application showed checking account day later monday day later debit card declined investigation online account processing debit transaction showed amount cashier check 290000 called boa said investigation next day transaction fully process chargeback item boa informed held responsible cashier check actually counterfeit originating bankhad informed boa fact also boa informed service machine per week yes agree foolish deposit cashier check deposited teller bank counter unfortunately even think slammed used mule counterfeit check money etc exacerbate problem recipient xxxxmonth friday next day unable u treasury department boa cancelstop direct deposit could pay monthly bill resent due timeline protocol treasury banking system currently lost spend boa checking account,4
206602,1307441,2015-03-30,Credit reporting,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",FL,Web,Closed with explanation,Yes,No,bankruptcy dismissed 2010 would like removed credit report trying rebuild credit last year impaction credit score,3
206604,1317305,2015-04-06,Bank account or service,Using a debit or ATM card,JPMorgan Chase & Co.,NY,Web,Closed with explanation,Yes,Yes,bank account chase bank expecting check former employer checked account week checked monday tuesday saw check 140000 another around 90000 thought check went wednesday chase branch withdraw money make certain adjustment vehicle found account week frozen restriction one stolen card information set several deposit withdrawal weekend never reflected online banking chase chase failed inform via email phone call anything received letter week later account closed fraudulent check deposited account already filed complaint chase release fund account chase denied claim due fact longed online banking state never reported issue claim deposit done card time filed executive complaint remained work schedule proving work transaction done,4
206612,1317337,2015-04-06,Mortgage,"Loan servicing, payments, escrow account",Ocwen,WA,Web,Closed with explanation,Yes,No,owen mortgage payment without ratification called find got run around answer got shortage escort caused increase way shortage escort could extra 200000 month payment automatically deduced never missed late payment keep saying someone get back u still happened paying exact amount last two year sudden double money refund,4
206613,1306576,2015-03-30,Debt collection,Disclosure verification of debt,Resurgent Capital Services L.P.,VA,Web,Closed with non-monetary relief,Yes,No,reply complaint note also threatened regarding debt threat sue nasty cursing telephone called get into debt transferred stated debt sold transferred friday receive ratification also contracted agreed phone requested letter purification debt deliberately provided response given phone number contact regarding account calling discovered account recurrent capital service up original debt actually given proof debt prior notified debt moved also new debt collector spoke recurrent phone number called reach recurrent also received notice right dispute requested purification debt ignored denied get company properly comply face keep customer aware communication anything debt related disappointed frustrated disgusted want clear credit stop dealing nasty people way stated would receive regular written letter statement balance call u periodically get current balance owed please assist stop harassment threat liesdeceit company allow clear credit history thank,3
